date,temp_avg_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,precip_mm,solar_rad_allsky_mj_m2,solar_rad_clrsky_mj_m2,temp_avg_c_norm,temp_max_c_norm,temp_min_c_norm,humidity_pct_norm,wind_speed_ms_norm,precip_mm_norm,solar_rad_allsky_mj_m2_norm,solar_rad_clrsky_mj_m2_norm
2024-05-15,35.02,42.86,27.05,15.9,1.86,0.01,7.68,7.82,0.8533050547896784,0.8342210386151796,0.7656565656565657,0.11355815554026154,0.2576923076923078,9.639483323693851e-05,0.9996028120903999,0.9995036334034865
2024-05-16,36.67,44.01,29.01,15.52,1.46,0.0,7.44,7.75,0.9116295510781195,0.8725033288948068,0.8316498316498318,0.10919935765083734,0.1807692307692308,0.0,0.9993644993446399,0.9994341420799746
2024-05-17,37.92,44.99,31.27,14.66,2.52,0.0,6.69,7.63,0.9558147755390599,0.905126498002663,0.9077441077441076,0.09933470979582475,0.3846153846153847,0.0,0.9986197720141398,0.9993150140968113
2024-05-18,37.51,45.6,29.72,14.23,3.25,0.0,7.26,7.67,0.9413220219158712,0.9254327563249001,0.8555555555555555,0.09440238586831844,0.5250000000000001,0.0,0.9991857647853198,0.9993547234245325
2024-05-19,37.54,45.54,29.26,15.66,2.76,0.0,6.42,7.79,0.9423824673029338,0.9234354194407455,0.8400673400673402,0.11080523055746731,0.43076923076923085,0.0,0.9983516701751598,0.9994738514076957
2024-05-20,37.37,42.74,31.14,17.33,2.82,0.0,6.42,7.41,0.9363732767762459,0.8302263648468708,0.9033670033670035,0.12996100022941037,0.44230769230769235,0.0,0.9983516701751598,0.9990966127943455
2024-05-21,38.47,45.1,31.61,17.06,2.0,0.0,6.3,7.06,0.9752562743018734,0.9087882822902795,0.9191919191919192,0.1268639596237669,0.28461538461538466,0.0,0.9982325138022797,0.998749156176786
2024-05-22,38.74,45.72,31.53,15.96,1.26,0.0,7.0,7.64,0.9848002827854366,0.9294274300932088,0.9164983164983166,0.1142463867859601,0.14230769230769236,0.0,0.9989275926440798,0.9993249414287416
2024-05-23,37.65,45.17,30.05,20.71,3.79,0.0,7.47,7.73,0.9462707670554967,0.9111185086551263,0.8666666666666668,0.16873136040376235,0.628846153846154,0.0,0.9993942884378598,0.999414287416114
2024-05-24,36.88,43.42,29.93,25.84,3.04,0.0,7.38,7.61,0.9190526687875576,0.8528628495339545,0.8626262626262625,0.22757513191098877,0.4846153846153847,0.0,0.9993049211581998,0.9992951594329509
2024-05-25,37.7,45.17,29.46,22.72,3.11,0.0,6.36,6.91,0.9480381760339344,0.9111185086551263,0.8468013468013469,0.1917871071346639,0.49807692307692314,0.0,0.9982920919887197,0.9986002461978319
2024-05-26,39.13,47.27,31.1,16.93,2.87,0.0,6.95,7.65,0.9985860728172501,0.9810252996005326,0.902020202020202,0.12537279192475337,0.45192307692307704,0.0,0.9988779441553798,0.9993348687606719
2024-05-27,39.17,47.84,29.91,12.04,3.25,0.0,7.96,7.98,1.0,1.0,0.8619528619528619,0.06928194540032116,0.5250000000000001,0.0,0.9998808436271199,0.9996624707143709
2024-05-28,38.73,47.33,30.17,13.09,4.28,0.0,7.66,7.71,0.984446800989749,0.9830226364846868,0.8707070707070709,0.0813259922000459,0.7230769230769233,0.0,0.9995829526949198,0.9993944327522535
2024-05-29,38.52,45.69,31.5,22.33,5.41,0.0,7.5,7.72,0.9770236832803113,0.9284287616511315,0.9154882154882155,0.18731360403762332,0.9403846153846157,0.0,0.9994240775310799,0.9994043600841838
2024-05-30,38.32,45.55,31.98,22.32,4.47,0.0,7.26,7.86,0.9699540473665608,0.9237683089214379,0.9316498316498317,0.1871988988300069,0.7596153846153848,0.0,0.9991857647853198,0.9995433427312076
2024-05-31,38.24,45.3,30.74,21.6,5.06,0.0,7.25,7.78,0.9671261930010605,0.9154460719041275,0.8898989898989899,0.17894012388162422,0.8730769230769232,0.0,0.9991758350875798,0.9994639240757655
2024-06-01,37.61,43.51,31.47,22.62,3.59,0.39,6.24,7.56,0.9448568398727465,0.8558588548601862,0.9144781144781146,0.19064005505849968,0.5903846153846155,0.0037593984962406017,0.9981729356158398,0.9992455227732995
2024-06-02,36.84,42.76,29.51,28.19,1.73,1.79,6.36,7.64,0.9176387416048076,0.8308921438082555,0.8484848484848485,0.2545308557008488,0.2326923076923077,0.017254675149411994,0.9982920919887197,0.9993249414287416
2024-06-03,37.69,44.21,31.05,22.8,2.32,0.03,7.37,7.55,0.9476846942382467,0.879161118508655,0.9003367003367003,0.19270474879559535,0.3461538461538462,0.0002891844997108155,0.9992949914604599,0.9992355954413692
2024-06-04,37.92,44.62,31.32,23.9,4.33,0.0,7.2,7.37,0.9558147755390599,0.8928095872170436,0.9094276094276094,0.20532232163340214,0.7326923076923079,0.0,0.9991261865988799,0.9990569034666243
2024-06-05,37.03,43.3,30.57,24.59,4.52,0.0,7.6,7.72,0.9243548957228703,0.8488681757656455,0.8841750841750843,0.21323698095893556,0.7692307692307694,0.0,0.9995233745084798,0.9994043600841838
2024-06-06,36.4,42.92,29.37,26.65,2.53,0.0,7.5,7.74,0.9020855425945563,0.8362183754993342,0.8437710437710438,0.23686625372791925,0.38653846153846155,0.0,0.9994240775310799,0.9994242147480443
2024-06-07,36.41,42.94,29.76,26.76,2.88,0.38,6.02,7.36,0.9024390243902439,0.8368841544607188,0.8569023569023569,0.23812801101169995,0.45384615384615395,0.003663003663003663,0.9979544822655597,0.9990469761346941
2024-06-08,36.45,42.17,30.08,29.01,3.03,0.16,6.96,7.57,0.9038529515729942,0.8112516644474033,0.8676767676767677,0.2639366827253958,0.4826923076923077,0.0015423173317910162,0.9988878738531198,0.9992554501052298
2024-06-09,36.72,42.89,30.37,25.21,2.81,0.01,6.81,7.82,0.9133969600565571,0.8352197070572569,0.8774410774410776,0.22034870383115396,0.44038461538461543,9.639483323693851e-05,0.9987389283870198,0.9995036334034865
2024-06-10,37.56,43.24,31.54,18.41,1.25,0.0,6.45,7.48,0.9430894308943091,0.8468708388814912,0.9168350168350169,0.14234916265198438,0.14038461538461539,0.0,0.9983814592683797,0.9991661041178573
2024-06-11,37.83,43.45,32.01,21.03,2.39,0.0,5.81,7.23,0.952633439377872,0.8538615179760318,0.9326599326599326,0.17240192704748797,0.3596153846153847,0.0,0.9977459586130197,0.9989179208196005
2024-06-12,37.81,43.45,32.51,24.2,4.22,0.0,5.5,7.35,0.951926475786497,0.8538615179760318,0.9494949494949495,0.20876347786189492,0.7115384615384617,0.0,0.9974381379830797,0.9990370488027638
